id;level1;level2;level3;level3a;question;keywords
0;Information;Change of contact details;Change of contact details;;How do I arrange a name/surname change?;name, surname, personal data, contact, request, change
1;Information;Change of contact details;Change of contact details;;How do I arrange a change of contact information?;personal data, contact, request, change
2;Information;Change of contact details;Change of contact details;;How do I arrange a change of phone number?;phone number, phone, personal data, contact, request, change
3;Information;Change of contact details;Change of contact details;;How do I arrange a change of email/email address?;email, e-mail, email address, contact, request, change, application, itriglav
4;Information;Change of contact details;Change of contact details;;How do I arrange a change of personal data?;address, mail, change, personal data, request, change, invoice, application, itriglav
5;Information;Change of contact details;Change of contact details;;How do I arrange a change of address for receiving mail?;change of data, change, payment, request, address
6;Information;Change of contact details;Change of payment method;;How do I arrange a change of payment method?;UPN form, standing order, direct debit, invoice account, payment, e-invoice, change
7;Information;Legal procedures;Bankruptcy - individuals;;Checking client's insurances;insurances, bankruptcy, court
8;Information;Legal procedures;Bankruptcy - individuals;;Checking debts for a client;debt, assets, bankruptcy, court
9;Information;Legal procedures;Bankruptcy - individuals;;Checking the financial status for a client;assets, policy status, bankruptcy, court
10;Information;Legal procedures;Bankruptcy / liquidation / compulsory settlement of a company;;Checking the financial status for a company;assets, liquidation, settlement, bankruptcy, court
11;Information;Legal proceedings;Bankruptcy / liquidation / compulsory settlement of a company;;Checking debts for a company;debt, liquidation, settlement, bankruptcy, court
12;Information;Legal procedures;Hearing, court fee, password;;Interest in the hearing;cancellation, change of hearing date, payment of court fee, password
13;Information;Legal procedures;Data for the CPC;;Request for a review of contracts concluded with Triglav Insurance Company;review of contracts, corruption, Official Gazette, data for the CPC
14;Information;Receivables / payments;Enforcement;;Receiving enforcement;enforcement, decree status, seizure, enforcement, reminder, credit, premium
15;Information;Claims / payments;Enforcement;;Checking debts;debt, status, claim, default interest, reminder, credit
16;Information;Claims / payments;Regressive claims / regressive debt;;Blocked account, managing claims;blocked account, reminder, credit, claim
17;Information;Claims / payments;Overpayment of services;;Overpaid premium;overpayment, refund, amount, reference, IBAN, premium
18;Information;Claims / payments;Double deduction of premium;;Double deduction of the premium;double deduction, overpayment, premium
19;Information;Receivables / payments;Refund of services;;How can I cancel the policy?;termination, documentation, e-mail, costs
20;Information;Receivables / payments;Refund of services;;Is the policy terminated? (No);termination, documentation, proof, policy
21;Information;Receivables / payments;Refund of services;;Is the policy terminated? (Yes);termination, payment date, termination date, policy
22;Information;Receivables / Payments;Reminders;;Information about the reminder;reminder, policy, premium, personal insurance, crossing policies, payment
23;Information;Receivables / payments;Debt status;;What is the debt status?;debt, status, payment
24;Information;Claims / payments;Debt write-off / installment payment;;What are the debt repayment options?;debt, payment, installments, delay, premium
25;Information;Claims / Payments;Account card / IOP;;What is the status of installments/payments?;installment status, payment status, account card
26;Information;Receivables / payments;Account / payments / refunds;;Is the invoice settled / paid?;information, account records, reason for receipt, settled invoice
27;Information;Claims / payments;Additional payments (certificate / explanation);;What are the options for additional payments to insurance?;investment insurance, investment insurance, certificate, explanation, payment, monthly premium
28;Information;Claims / payments;Additional payments (certificate / explanation);;What are the possibilities for a one-time payment in mixed life insurance?;mixed life insurance, one-time payment, monthly premium, certificate, explanation
29;Information;Claims / payments;Additional payments (certificate / explanation);;How do I lower my premium with a one-time payment?;mixed life insurance, single payment, monthly premium, certificate, explanation
30;Information;Claims / Payments;Payment date / premium due date;;What is the deadline for premium payment?;payment deadline, reminder, premium
31;Information;Receivables / Payments;Payment date / Premium due date;;What are the consequences of late payment?;payment deadline, reminder, debt, claim, enforcement
32;Information;Receivables / Payments;Discounts;;How can I redeem a coupon?;online discount, coupons
33;Information;Claims / payments;Triglav complete;CATEGORIZATION - CANNOT CHANGE;What is Triglav complete?;Triglav complete, discount, 40%
34;Information;Receivables / payments;Triglav complete;;What do I gain by joining Triglav complete?;Triglav complete, inclusion, conditions
35;Information;Claims / payments;Triglav package;;Which insurance policies can be included in the Triglav package?;Triglav package, discount, insurance
36;Information;Claims / payments;Triglav complete;;How many insurance policies can I compose my Triglav complete with? What about my son, who would join later?;Triglav complete, inclusion, conditions
37;Information;Claims / payments;Triglav package;;What is the maximum discount I can get in the Triglav package?;
38;Information;Claims / payments;Triglav complete;;How can I collect the highest Triglav complete discount?;
39;Information;Claims / payments;Triglav package;;Who can be the holder of Triglav package?;Triglav package, holder, conditions
40;Information;Claims / payments;Triglav package;;Can I also create a Triglav package if I only have a savings plan opened at Triglav Funds?;Triglav package, inclusion, conditions, funds
41;Information;Claims / payments;Triglav package;;How can I form a Triglav package discount?;Triglav package, package design, meeting, identification number
42;Information;Claims / payments;Triglav complete;;What is the amount of Triglav complete discount?;Triglav complete, discount amount, property, life, health, percentage, discount
43;Information;Receivables / payments;Triglav complete;;What does the loyalty discount mean in the Triglav complete?;
44;Information;Claims / payments;Triglav complete;;What counts in the digital business category?;
45;Information;Claims/Payments;Triglav Complete;;Can I count on the Triglav Complete discount regardless of the premium amount?;
46;Information;Receivables / payments;Triglav complete;;I have a car on lease. I also have insurance arranged through the leasing company. Can I include this insurance in my Triglav complete?;
47;Information;Claims / payments;Triglav complete;;We have signed up for an annual travel insurance policy online, which only starts in a week. Can I add the insurance to Triglav complete?;
48;Information;Claims / payments;Triglav complete;;What is the minimum premium amount on the policy for the insurance to count in Triglav complete?;
49;Information;Claims / payments;Triglav complete;;Who in the family is eligible for the Triglav complete discount?;Triglav complete, discount amount, family members, beneficiaries
50;Information;Loans;Cession / Discharge;;Is the cession settled? (yes);confirmation, process, cession, discharge, loan
51;Information;Loans;Vinculation / Devinculation;;Is the vinculation arranged? (no);certificate, procedure, vinculation, devinculation, loan
52;Information;Credits;Vinculation / devinculation;;Is the devinculation arranged? (yes);devinculation, loan payment
53;Information;Loans;Vinkulacija / devinkulacija;;Is the devinculation arranged? (no);devinculation, loan payment
54;Information;Loans;Questions / problems of borrowers;;What is the role of the insurance company in a loan?;loan, purchase, credit insurance, borrower insurance
55;Information;Insurance policies;Informative offer;;What price/premium can I expect?;informative offer, price of premium, amount of premium, coverage, competition, agent, branch, online conclusion
56;Information;Insurance policies;Informative offer;;How can I obtain an informative insurance offer?;informative offer, premium price, agent, branches
57;Information;Insurance policies;Pension insurance;Individual voluntary pension insurance;Where can I get additional information about the insurance?;individual pension insurance, conditions, premium price, amount of premium, coverage, payout, relief, comparison, brochure
58;Information;Insurance policies;Pension insurance;Individual voluntary pension insurance;What are the possibilities for additional payments into insurance?;additional payment, relief, income tax return, conditions, premium amount
59;Information;Insurance policies;Pension insurance;Individual voluntary supplementary pension insurance;Where can I get additional information about insurance?;individual pension insurance, terms, premium price, premium amount, coverage, payment, relief, comparison, brochure
60;Information;Insurance policies;Pension insurances;Individual voluntary supplementary pension insurance;What are the options for additional payments to insurance?;additional payment, membership, relief, income tax refund, conditions, premium amount, maximum premium
61;Information;Insurance policies;Pension insurance;Individual voluntary supplementary pension insurance;What is the effect of the tax relief?;tax relief, effect, informative calculation, amount of refunded income tax, pensions
62;Information;Insurance policies;Pension insurance;Voluntary supplementary pension insurance online - I.VSPI;How can I take out insurance?;VSPI, insurance conclusion, options, online, branch, mail, application form, form
63;Information;Insurance policies;Pension insurance;Collective voluntary pension insurance - PPZ;What are the options for additional payments into insurance?;collective, pension insurance, additional payments, employer, employee
64;Information;Insurance policies;Pension insurance;Collective voluntary supplementary pension insurance - PDPZ;Where can I get additional information about insurance?;collective, pension insurance, brochure, general information, basic information
65;Information;Insurance policies;Pension insurance;Collective voluntary supplementary pension insurance - PDPZ;How can I cancel my policy? (I am employed at ZT).;policy cancellation, ZT employee, pension insurance
66;Information;Insurance policies;Pension insurance;Collective voluntary supplementary pension insurance - PDPZ;What are the options for early payment?;early payment, employee ZT, pension insurance
67;Information;Insurance policies;Investment and investment insurances;Investment life insurance;How to determine the insurance period?;investment, life insurance, insurance period, duration, 10 years, payout, return, conclusion
68;Information;Insurance policies;Investment and investment insurances;Investment life insurance;What does an open insurance period mean?;open insurance period, investment insurance, flex
69;Information;Insurance policies;Investment and investment insurance;One-time investment insurance;How can I submit a request for payment?;request, payment, working day, conditions
70;Information;Insurance policies;Investment and investment insurance;Abc life insurance;When can I apply for a payout?;payout, 10 years, application
71;Information;Insurance policies;Investment and investment insurances;Ilirika Dynamic Investment Life Insurance;How long does the insurance period last?;insurance period, investment insurance
72;Information;Insurance policies;Investment and investment insurance;Flex investment insurance;What are the options for additional payments into insurance?;flex insurance, additional payment, prior notice
73;Information;Insurance policies;Investment and investment insurance;Investment insurance flex for young;Who is the policyholder?;policyholder, young person, child, investment insurance
74;Information;Insurance policies;Investment and savings insurance;Flexible investment insurance for the young;How do I arrange authorization for managing policy changes?;authorized person, completed authorization, itriglav, policy changes, legal representative statement, flex for the young
75;Information;Insurance policies;Investment and savings insurance;Flexible investment insurance for adults;What to do in case of the insured's death?;insured's death, claims procedure, beneficiary, death register, form
76;Information;Insurance policies;Investment and investment insurance;Ilirika Dynamic Flex investment insurance;How long does the insurance period last?;insurance period, investment insurance, ilirika, dynamic flex
77;Information;Insurance policies;Investment and investment insurances;Investment insurance flex via the internet - i.flex;How can I take out insurance?;flex, online insurance conclusion, iflex, itriglav
78;Information;Insurance policies;Investment and investment insurances;Funds;How do I change the funds?;change, funds, written request, triglav funds
79;Information;Insurance policies;Investment and investment insurances;Funds;Where can I check the details of the executed investment?;view, value, assets, funds
80;Information;Insurance policies;Investment and investment insurances;Funds;How can I check the unit asset values (UAV) of funds?;UAV, assets, investment insurance, funds
81;Information;Insurance policies;Investment and investment insurances;Funds;How do I check the balance of funds?;NAV, assets, investment insurance, funds, balance
82;Information;Insurance policies;Investment and investment insurance;Funds;Where can I find more information about funds?;triglav funds, information, funds
83;Information;Insurance policies;Investment and savings insurance;Funds;What is a savings plan?;savings plan, funds, Triglav funds, information
84;Information;Insurance policies;Investment and investment insurances;Funds;What are the advantages of a savings plan?;savings plan, funds, Triglav funds, advantages
85;Information;Insurance policies;Investment and investment insurance;Funds;What investment combinations can I choose from?;savings plan, funds, Triglav funds, plan choice, combinations
86;Information;Insurance policies;Vehicle insurance;Young driver insurance;What is young driver insurance tied to?;young driver, car insurance, driver, AO, vehicle
87;Information;Insurance policies;Vehicle insurance;Legal protection insurance;What does car legal protection insurance offer me?;legal protection, causer, repair, car insurance
88;Information;Insurance policies;Vehicle insurance;Casco insurance;What does a partial combination offer me when insuring my car?;partial casco, car insurance, combination
89;Information;Insurance policies;Vehicle insurance;Casco insurance;What are the benefits of casco insurance?;casco insurance, benefits, car insurance
90;Information;Insurance policies;Vehicle insurance;Casco insurance;How to insure an older vehicle?;casco insurance, age, car insurance, partial casco, older vehicles
91;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);How do I transfer a bonus from another insurance company?;bonus, comprehensive insurance, ownership, car insurance, transfer
92;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);What does mandatory car insurance cover?;AO, car liability insurance, mandatory insurance, damage, casco insurance
93;Information;Insurance policies;Vehicle insurance;Automobile liability insurance (mandatory car insurance);Is the young driver only for personal vehicles or also up to 3.5 t, which are drivable with category B?;AO, policy, young driver, personal car, cargo vehicle
94;Information;Insurance policies;Vehicle insurance;Automobile liability insurance (mandatory car insurance);Is it a problem if the driver is not the policyholder? What if the policyholder is a passenger and the driver is someone else? Is the policyholder covered for bodily injuries by AO? The terms refer to the policyholder, not the driver.;AO, policy, young driver, bodily injuries, coverage
95;Information;Insurance policies;Vehicle insurance;Car liability insurance (compulsory car insurance);Young driver policy for legal entities - is an individual policy sufficient, or will the company have to take out an additional policy for the young driver?;AO, policy, young driver
96;Information;Insurance policies;Vehicle insurance;Motor vehicle liability insurance (mandatory car insurance);I hope you didn't generalize the exclusion of coverage at 'races' too much for MVL. Rally indeed takes place in normal traffic between stages, so the race car needs insurance like usual personal vehicles (?).;MVL, policy, young driver, vehicle use
97;Information;Insurance policies;Vehicle insurance;Motor liability insurance (mandatory car insurance);Are close family members living at the same address (partner, children, parents) also covered by AO insurance?;
98;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);Is seatbelt use a condition for compensation of bodily injuries to passengers?;
99;Information;Insurance policies;Vehicle insurance;Automobile liability insurance (compulsory car insurance);In the case where a car trailer up to 750 kg, detached from the vehicle, rolls away on a sloping terrain and causes damage - what is the coverage?;
100;Information;Insurance policies;Vehicle insurance;Automobile liability insurance (mandatory car insurance);For the policy that I am concluding in 2022, is the difference between 2021 and 2020 considered? However, in this case, when I am concluding this policy, the vehicle has not yet passed the technical inspection and consequently there is no current year status in eMRLV?;
101;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);How is the mileage discount calculated if the customer arranges the insurance first and then the technical inspection?;
102;Information;Insurance policies;Vehicle insurance;Automobile liability insurance (mandatory car insurance);Is it necessary to calculate a surcharge for a young driver at driving schools?;
103;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);What about discounts for hybrids and electric vehicles (fuel type discount)?;
104;Information;Insurance policies;Vehicle insurance;Automobile liability insurance (mandatory car insurance);Is it possible to insure combine harvesters only for the seasonal period?;
105;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);What about the surcharge for a replacement vehicle, does it continue because it was not mentioned among the surcharges?;
